STOPID,shape
6633,POINT (-122.498316 37.74199)
7900,POINT (-122.404631 37.729912)
4195,POINT (-122.413586 37.734804)
7636,POINT (-122.430589 37.772049)
8000,POINT (-122.370979 37.81606)
4477,POINT (-122.42427 37.782516)
5511,POINT (-122.504106 37.781827)
6665,POINT (-122.451182 37.743063)
5734,POINT (-122.43134 37.74519)
7621,POINT (-122.443422 37.803647)
5839,POINT (-122.418395 37.795381)
5225,POINT (-122.495805 37.760845)
3688,POINT (-122.40667 37.7268)
5579,POINT (-122.395916 37.791144)
4915,POINT (-122.456232 37.719962)
6982,POINT (-122.383322 37.733337)
6717,POINT (-122.445441 37.778762)
5245,POINT (-122.458836 37.748327)
3555,POINT (-122.493354 37.781537)
3089,POINT (-122.396879 37.791939)
4126,POINT (-122.39741 37.76243)
7756,POINT (-122.392886 37.735162)
5920,POINT (-122.427062 37.718961)
4315,POINT (-122.435048 37.760863)
6600,POINT (-122.428457 37.786647)
8040,POINT (-122.40368 37.711299)
6724,POINT (-122.447206 37.778664)
5164,POINT (-122.413202 37.795255)
3276,POINT (-122.47361 37.7563)
4529,POINT (-122.403314 37.805022)
5272,POINT (-122.442482 37.798971)
3311,POINT (-122.434979 37.762576)
7981,POINT (-122.43114 37.716481)
5432,POINT (-122.449166 37.731615)
3896,POINT (-122.453522 37.786462)
3831,POINT (-122.470848 37.784586)
4456,POINT (-122.37313 37.728779)
5089,POINT (-122.419139 37.799182)
6193,POINT (-122.40233 37.76088)
7837,POINT (-122.491999 37.777737)
5656,POINT (-122.412441 37.780568)
4100,POINT (-122.41784 37.80551)
6049,POINT (-122.409145 37.7923)
6413,POINT (-122.4314 37.728901)
5134,POINT (-122.47126 37.71355)
8137,POINT (-122.470211 37.741356)
3741,POINT (-122.40961 37.7574)
4809,POINT (-122.418409 37.7077)
6243,POINT (-122.407389 37.712451)
7982,POINT (-122.42996 37.718042)
6332,POINT (-122.40086 37.79202)
6200,POINT (-122.401342 37.750727)
3160,POINT (-122.404117 37.784259)
5175,POINT (-122.415514 37.80832)
5350,POINT (-122.401394 37.721541)
3834,POINT (-122.475501 37.784253)
3793,POINT (-122.40389 37.71062)
3075,POINT (-122.444603 37.800622)
5967,POINT (-122.45765 37.73209)
5276,POINT (-122.40807 37.8035)
4072,POINT (-122.445 37.7467)
3614,POINT (-122.432807 37.738172)
5296,POINT (-122.46246 37.76618)
3336,POINT (-122.440778 37.760488)
3739,POINT (-122.40966 37.75911)
5420,POINT (-122.437768 37.731668)
4439,POINT (-122.40773 37.71729)
6433,POINT (-122.49667 37.733693)
4688,POINT (-122.41337 37.7388)
5077,POINT (-122.419562 37.801912)
7405,POINT (-122.393933 37.776251)
7815,POINT (-122.496485 37.733515)
4202,POINT (-122.411283 37.734911)
4890,POINT (-122.436339 37.714358)
7204,POINT (-122.509876 37.773206)
6645,POINT (-122.414998 37.803758)
6450,POINT (-122.503407 37.7356)
5269,POINT (-122.480968 37.792088)
4532,POINT (-122.39567 37.797085)
7792,POINT (-122.472779 37.713)
3041,POINT (-122.470531 37.776868)
5801,POINT (-122.43589 37.72382)
3745,POINT (-122.40932 37.75415)
5304,POINT (-122.473221 37.765715)
5118,POINT (-122.458643 37.764441)
6937,POINT (-122.452431 37.745766)
5047,POINT (-122.38416 37.73759)
4093,POINT (-122.449052 37.760926)
3450,POINT (-122.402668 37.754448)
3163,POINT (-122.395135 37.777109)
3574,POINT (-122.506143 37.762375)
4212,POINT (-122.49288 37.7721)
5973,POINT (-122.45753 37.73111)
4571,POINT (-122.43059 37.72475)
3870,POINT (-122.414098 37.791347)
3047,POINT (-122.480056 37.776563)
5919,POINT (-122.434563 37.722379)
3211,POINT (-122.466241 37.764288)
4289,POINT (-122.442965 37.782973)
3618,POINT (-122.434433 37.740055)
3692,POINT (-122.40068 37.71202)
8151,POINT (-122.458867 37.803678)
6921,POINT (-122.4198 37.79341)
7801,POINT (-122.480189 37.714595)
6290,POINT (-122.400282 37.79418)
6015,POINT (-122.447917 37.746462)
3265,POINT (-122.47183 37.74891)
5651,POINT (-122.414826 37.778606)
6994,POINT (-122.402127 37.788791)
4478,POINT (-122.424201 37.7824)
4788,POINT (-122.433855 37.732401)
4756,POINT (-122.471827 37.780642)
6248,POINT (-122.39135 37.73241)
7808,POINT (-122.483629 37.722759)
6186,POINT (-122.401842 37.75617)
6542,POINT (-122.493622 37.73183)
5879,POINT (-122.394535 37.7361)
6681,POINT (-122.4455 37.734568)
